rank,feature,mean_abs_shap
1,Slope_stdDev,2.5985134
2,Rock_Exposure,2.0382814
3,TRI,1.187135
4,VV_stdDev,1.1642082
5,Rainfall_30d,0.9143038
6,Slope,0.9013401
7,Rainfall_3d,0.56928664
8,Elevation_stdDev,0.40634686
9,Rainfall_7d,0.40249354
10,BSI,0.36910754
11,Rainfall_Max_Daily,0.34854582
12,Rainfall_14d,0.34415403
13,Rainfall_60d,0.31440508
14,EVI,0.13929676
15,Terrain_Roughness,0.07486506
16,Curvature,0.05806675
17,Heavy_Rain_Days,0.054656867
18,Elevation,0.05398185
19,NDMI,0.035256065
20,Soil_Moisture_Max,0.03179319
21,NDVI,0.027479425
22,VH,0.024239557
23,TPI,0.022835938
24,Soil_Moisture_Min,0.018887518
25,Temperature_Min_C,0.018843623
26,VV_Change,0.017465137
27,Soil_Moisture,0.01625306
28,Temperature_C,0.013632428
29,Aspect,0.01341723
30,VH_stdDev,0.012304555
31,VV_VH_Difference,0.012154192
32,VH_Change,0.009785199
33,VV,0.008135817
34,NDVI_Change,0.007877273
35,NDWI,0.0076769064
36,Land_Cover,0.0063734674
37,NDMI_Change,0.0058705974
38,Temperature_Max_C,0.004872017
